
第１表,,,,刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",
北海道,札幌方面,205 ,258 ,-53 ,-20.5 ,133 ,163 ,-30 ,-18.4 ,75 ,76 ,-1 ,-1.3 ,64.9 ,63.2 ,1.7 
北海道,函館方面,46 ,29 ,17 ,58.6 ,24 ,27 ,-3 ,-11.1 ,17 ,6 ,11 ,183.3 ,52.2 ,93.1 ,-40.9 
北海道,旭川方面,29 ,57 ,-28 ,-49.1 ,8 ,34 ,-26 ,-76.5 ,6 ,16 ,-10 ,-62.5 ,27.6 ,59.6 ,-32.0 
北海道,釧路方面,46 ,47 ,-1 ,-2.1 ,33 ,39 ,-6 ,-15.4 ,15 ,18 ,-3 ,-16.7 ,71.7 ,83.0 ,-11.3 
北海道,北見方面,10 ,17 ,-7 ,-41.2 ,7 ,9 ,-2 ,-22.2 ,5 ,8 ,-3 ,-37.5 ,70.0 ,52.9 ,17.1 
東北,計,573 ,693 ,-120 ,-17.3 ,305 ,346 ,-41 ,-11.8 ,151 ,178 ,-27 ,-15.2 ,53.2 ,49.9 ,3.3 
東北,青森県,68 ,83 ,-15 ,-18.1 ,50 ,61 ,-11 ,-18.0 ,18 ,35 ,-17 ,-48.6 ,73.5 ,73.5 ,0.0 
東北,岩手県,63 ,42 ,21 ,50.0 ,37 ,20 ,17 ,85.0 ,21 ,16 ,5 ,31.3 ,58.7 ,47.6 ,11.1 
東北,宮城県,195 ,273 ,-78 ,-28.6 ,72 ,115 ,-43 ,-37.4 ,42 ,49 ,-7 ,-14.3 ,36.9 ,42.1 ,-5.2 
東北,秋田県,43 ,56 ,-13 ,-23.2 ,36 ,41 ,-5 ,-12.2 ,24 ,24 ,0 ,0.0 ,83.7 ,73.2 ,10.5 
東北,山形県,67 ,68 ,-1 ,-1.5 ,37 ,49 ,-12 ,-24.5 ,21 ,24 ,-3 ,-12.5 ,55.2 ,72.1 ,-16.9 
東北,福島県,137 ,171 ,-34 ,-19.9 ,73 ,60 ,13 ,21.7 ,25 ,30 ,-5 ,-16.7 ,53.3 ,35.1 ,18.2 
東京都,,632 ,763 ,-131 ,-17.2 ,539 ,637 ,-98 ,-15.4 ,404 ,466 ,-62 ,-13.3 ,85.3 ,83.5 ,1.8 
関東,計,3476 ,4005 ,-529 ,-13.2 ,1875 ,2044 ,-169 ,-8.3 ,981 ,1101 ,-120 ,-10.9 ,53.9 ,51.0 ,2.9 
関東,茨城県,302 ,408 ,-106 ,-26.0 ,149 ,127 ,22 ,17.3 ,57 ,53 ,4 ,7.5 ,49.3 ,31.1 ,18.2 
関東,栃木県,277 ,230 ,47 ,20.4 ,109 ,105 ,4 ,3.8 ,37 ,44 ,-7 ,-15.9 ,39.4 ,45.7 ,-6.3 
関東,群馬県,241 ,264 ,-23 ,-8.7 ,137 ,152 ,-15 ,-9.9 ,67 ,62 ,5 ,8.1 ,56.8 ,57.6 ,-0.8 
関東,埼玉県,660 ,789 ,-129 ,-16.3 ,448 ,487 ,-39 ,-8.0 ,265 ,302 ,-37 ,-12.3 ,67.9 ,61.7 ,6.2 
関東,千葉県,585 ,855 ,-270 ,-31.6 ,241 ,286 ,-45 ,-15.7 ,153 ,163 ,-10 ,-6.1 ,41.2 ,33.5 ,7.7 
関東,神奈川県,691 ,706 ,-15 ,-2.1 ,407 ,406 ,1 ,0.2 ,229 ,238 ,-9 ,-3.8 ,58.9 ,57.5 ,1.4 
関東,新潟県,139 ,162 ,-23 ,-14.2 ,89 ,125 ,-36 ,-28.8 ,47 ,63 ,-16 ,-25.4 ,64.0 ,77.2 ,-13.2 
関東,山梨県,79 ,90 ,-11 ,-12.2 ,55 ,55 ,0 ,0.0 ,21 ,34 ,-13 ,-38.2 ,69.6 ,61.1 ,8.5 
関東,長野県,136 ,128 ,8 ,6.3 ,70 ,56 ,14 ,25.0 ,22 ,36 ,-14 ,-38.9 ,51.5 ,43.8 ,7.7 
関東,静岡県,366 ,373 ,-7 ,-1.9 ,170 ,245 ,-75 ,-30.6 ,83 ,106 ,-23 ,-21.7 ,46.4 ,65.7 ,-19.3 
中部,計,1191 ,1257 ,-66 ,-5.3 ,634 ,678 ,-44 ,-6.5 ,334 ,410 ,-76 ,-18.5 ,53.2 ,53.9 ,-0.7 
中部,富山県,86 ,91 ,-5 ,-5.5 ,69 ,49 ,20 ,40.8 ,25 ,21 ,4 ,19.0 ,80.2 ,53.8 ,26.4 
中部,石川県,56 ,45 ,11 ,24.4 ,49 ,45 ,4 ,8.9 ,27 ,29 ,-2 ,-6.9 ,87.5 ,100.0 ,-12.5 
中部,福井県,51 ,72 ,-21 ,-29.2 ,33 ,49 ,-16 ,-32.7 ,17 ,34 ,-17 ,-50.0 ,64.7 ,68.1 ,-3.4 
中部,岐阜県,187 ,254 ,-67 ,-26.4 ,84 ,123 ,-39 ,-31.7 ,40 ,55 ,-15 ,-27.3 ,44.9 ,48.4 ,-3.5 
中部,愛知県,613 ,582 ,31 ,5.3 ,287 ,328 ,-41 ,-12.5 ,203 ,235 ,-32 ,-13.6 ,46.8 ,56.4 ,-9.6 
中部,三重県,198 ,213 ,-15 ,-7.0 ,112 ,84 ,28 ,33.3 ,22 ,36 ,-14 ,-38.9 ,56.6 ,39.4 ,17.2 
近畿,計,1594 ,1810 ,-216 ,-11.9 ,921 ,1111 ,-190 ,-17.1 ,657 ,664 ,-7 ,-1.1 ,57.8 ,61.4 ,-3.6 
近畿,滋賀県,138 ,135 ,3 ,2.2 ,69 ,74 ,-5 ,-6.8 ,40 ,33 ,7 ,21.2 ,50.0 ,54.8 ,-4.8 
近畿,京都府,108 ,136 ,-28 ,-20.6 ,100 ,140 ,-40 ,-28.6 ,73 ,81 ,-8 ,-9.9 ,92.6 ,102.9 ,-10.3 
近畿,大阪府,756 ,907 ,-151 ,-16.6 ,359 ,441 ,-82 ,-18.6 ,224 ,267 ,-43 ,-16.1 ,47.5 ,48.6 ,-1.1 
近畿,兵庫県,439 ,466 ,-27 ,-5.8 ,298 ,356 ,-58 ,-16.3 ,253 ,229 ,24 ,10.5 ,67.9 ,76.4 ,-8.5 
近畿,奈良県,91 ,113 ,-22 ,-19.5 ,58 ,71 ,-13 ,-18.3 ,39 ,29 ,10 ,34.5 ,63.7 ,62.8 ,0.9 
近畿,和歌山県,62 ,53 ,9 ,17.0 ,37 ,29 ,8 ,27.6 ,28 ,25 ,3 ,12.0 ,59.7 ,54.7 ,5.0 
中国,計,528 ,571 ,-43 ,-7.5 ,333 ,381 ,-48 ,-12.6 ,226 ,252 ,-26 ,-10.3 ,63.1 ,66.7 ,-3.6 
中国,鳥取県,37 ,40 ,-3 ,-7.5 ,25 ,29 ,-4 ,-13.8 ,16 ,18 ,-2 ,-11.1 ,67.6 ,72.5 ,-4.9 
中国,島根県,39 ,39 ,0 ,0.0 ,26 ,36 ,-10 ,-27.8 ,15 ,16 ,-1 ,-6.3 ,66.7 ,92.3 ,-25.6 
中国,岡山県,139 ,143 ,-4 ,-2.8 ,75 ,79 ,-4 ,-5.1 ,60 ,51 ,9 ,17.6 ,54.0 ,55.2 ,-1.2 
中国,広島県,221 ,260 ,-39 ,-15.0 ,150 ,172 ,-22 ,-12.8 ,103 ,122 ,-19 ,-15.6 ,67.9 ,66.2 ,1.7 
中国,山口県,92 ,89 ,3 ,3.4 ,57 ,65 ,-8 ,-12.3 ,32 ,45 ,-13 ,-28.9 ,62.0 ,73.0 ,-11.0 
四国,計,278 ,269 ,9 ,3.3 ,147 ,144 ,3 ,2.1 ,77 ,73 ,4 ,5.5 ,52.9 ,53.5 ,-0.6 
四国,徳島県,43 ,28 ,15 ,53.6 ,22 ,11 ,11 ,100.0 ,7 ,9 ,-2 ,-22.2 ,51.2 ,39.3 ,11.9 
四国,香川県,89 ,123 ,-34 ,-27.6 ,51 ,71 ,-20 ,-28.2 ,22 ,24 ,-2 ,-8.3 ,57.3 ,57.7 ,-0.4 
四国,愛媛県,73 ,74 ,-1 ,-1.4 ,39 ,33 ,6 ,18.2 ,19 ,24 ,-5 ,-20.8 ,53.4 ,44.6 ,8.8 
四国,高知県,73 ,44 ,29 ,65.9 ,35 ,29 ,6 ,20.7 ,29 ,16 ,13 ,81.3 ,47.9 ,65.9 ,-18.0 
九州,計,1172 ,1245 ,-73 ,-5.9 ,719 ,744 ,-25 ,-3.4 ,477 ,414 ,63 ,15.2 ,61.3 ,59.8 ,1.5 
九州,福岡県,492 ,574 ,-82 ,-14.3 ,264 ,368 ,-104 ,-28.3 ,188 ,185 ,3 ,1.6 ,53.7 ,64.1 ,-10.4 
九州,佐賀県,55 ,71 ,-16 ,-22.5 ,30 ,41 ,-11 ,-26.8 ,23 ,26 ,-3 ,-11.5 ,54.5 ,57.7 ,-3.2 
九州,長崎県,101 ,87 ,14 ,16.1 ,67 ,55 ,12 ,21.8 ,43 ,31 ,12 ,38.7 ,66.3 ,63.2 ,3.1 
九州,熊本県,90 ,96 ,-6 ,-6.3 ,74 ,58 ,16 ,27.6 ,47 ,30 ,17 ,56.7 ,82.2 ,60.4 ,21.8 
九州,大分県,57 ,81 ,-24 ,-29.6 ,48 ,48 ,0 ,0.0 ,26 ,25 ,1 ,4.0 ,84.2 ,59.3 ,24.9 
九州,宮崎県,126 ,92 ,34 ,37.0 ,72 ,49 ,23 ,46.9 ,40 ,19 ,21 ,110.5 ,57.1 ,53.3 ,3.8 
九州,鹿児島県,78 ,92 ,-14 ,-15.2 ,40 ,47 ,-7 ,-14.9 ,15 ,27 ,-12 ,-44.4 ,51.3 ,51.1 ,0.2 
九州,沖縄県,173 ,152 ,21 ,13.8 ,124 ,78 ,46 ,59.0 ,95 ,71 ,24 ,33.8 ,71.7 ,51.3 ,20.4 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
第１０表,,,,刑法犯　都道府県別　身柄措置別　検挙人員　対前年比較,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,
,,総数,総数,総数,総数,現行犯逮捕,現行犯逮捕,現行犯逮捕,現行犯逮捕,緊急逮捕,緊急逮捕,緊急逮捕,緊急逮捕,通常逮捕,通常逮捕,通常逮捕,通常逮捕,身柄不拘束,身柄不拘束,身柄不拘束,身柄不拘束,
,都道府県,"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),
総数,,175041 ,182582 ,-7541 ,-4.1 ,23400 ,25803 ,-2403 ,-9.3 ,2645 ,2938 ,-293 ,-10.0 ,33161 ,34361 ,-1200 ,-3.5 ,115835 ,119480 ,-3645 ,-3.1 ,
北海道,計,7556 ,7077 ,479 ,6.8 ,1131 ,1066 ,65 ,6.1 ,130 ,114 ,16 ,14.0 ,1135 ,1024 ,111 ,10.8 ,5160 ,4873 ,287 ,5.9 ,
北海道,札幌方面,4915 ,4635 ,280 ,6.0 ,760 ,766 ,-6 ,-0.8 ,76 ,72 ,4 ,5.6 ,719 ,651 ,68 ,10.4 ,3360 ,3146 ,214 ,6.8 ,
北海道,函館方面,644 ,568 ,76 ,13.4 ,112 ,92 ,20 ,21.7 ,12 ,12 ,0 ,0.0 ,95 ,72 ,23 ,31.9 ,425 ,392 ,33 ,8.4 ,
北海道,旭川方面,819 ,835 ,-16 ,-1.9 ,126 ,87 ,39 ,44.8 ,15 ,13 ,2 ,15.4 ,114 ,118 ,-4 ,-3.4 ,564 ,617 ,-53 ,-8.6 ,
北海道,釧路方面,832 ,717 ,115 ,16.0 ,92 ,85 ,7 ,8.2 ,23 ,13 ,10 ,76.9 ,139 ,144 ,-5 ,-3.5 ,578 ,475 ,103 ,21.7 ,
北海道,北見方面,346 ,322 ,24 ,7.5 ,41 ,36 ,5 ,13.9 ,4 ,4 ,0 ,0.0 ,68 ,39 ,29 ,74.4 ,233 ,243 ,-10 ,-4.1 ,
東北,計,9331 ,9978 ,-647 ,-6.5 ,901 ,1088 ,-187 ,-17.2 ,200 ,247 ,-47 ,-19.0 ,1563 ,1745 ,-182 ,-10.4 ,6667 ,6898 ,-231 ,-3.3 ,
東北,青森県,1264 ,1416 ,-152 ,-10.7 ,91 ,88 ,3 ,3.4 ,78 ,48 ,30 ,62.5 ,157 ,190 ,-33 ,-17.4 ,938 ,1090 ,-152 ,-13.9 ,
東北,岩手県,1057 ,1064 ,-7 ,-0.7 ,128 ,102 ,26 ,25.5 ,32 ,41 ,-9 ,-22.0 ,209 ,208 ,1 ,0.5 ,688 ,713 ,-25 ,-3.5 ,
東北,宮城県,2602 ,2872 ,-270 ,-9.4 ,336 ,415 ,-79 ,-19.0 ,62 ,119 ,-57 ,-47.9 ,564 ,569 ,-5 ,-0.9 ,1640 ,1769 ,-129 ,-7.3 ,
東北,秋田県,1002 ,1007 ,-5 ,-0.5 ,49 ,59 ,-10 ,-16.9 ,8 ,9 ,-1 ,-11.1 ,117 ,128 ,-11 ,-8.6 ,828 ,811 ,17 ,2.1 ,
東北,山形県,1402 ,1505 ,-103 ,-6.8 ,70 ,126 ,-56 ,-44.4 ,5 ,10 ,-5 ,-50.0 ,168 ,215 ,-47 ,-21.9 ,1159 ,1154 ,5 ,0.4 ,
東北,福島県,2004 ,2114 ,-110 ,-5.2 ,227 ,298 ,-71 ,-23.8 ,15 ,20 ,-5 ,-25.0 ,348 ,435 ,-87 ,-20.0 ,1414 ,1361 ,53 ,3.9 ,
東京都,,21026 ,23271 ,-2245 ,-9.6 ,4099 ,4546 ,-447 ,-9.8 ,47 ,48 ,-1 ,-2.1 ,5255 ,5502 ,-247 ,-4.5 ,11625 ,13175 ,-1550 ,-11.8 ,
関東,計,47465 ,50090 ,-2625 ,-5.2 ,5672 ,6091 ,-419 ,-6.9 ,734 ,751 ,-17 ,-2.3 ,8486 ,8646 ,-160 ,-1.9 ,32573 ,34602 ,-2029 ,-5.9 ,
関東,茨城県,3107 ,3311 ,-204 ,-6.2 ,395 ,427 ,-32 ,-7.5 ,43 ,51 ,-8 ,-15.7 ,596 ,627 ,-31 ,-4.9 ,2073 ,2206 ,-133 ,-6.0 ,
関東,栃木県,1975 ,2054 ,-79 ,-3.8 ,239 ,227 ,12 ,5.3 ,69 ,89 ,-20 ,-22.5 ,435 ,407 ,28 ,6.9 ,1232 ,1331 ,-99 ,-7.4 ,
関東,群馬県,3036 ,3151 ,-115 ,-3.6 ,359 ,355 ,4 ,1.1 ,34 ,35 ,-1 ,-2.9 ,667 ,660 ,7 ,1.1 ,1976 ,2101 ,-125 ,-5.9 ,
関東,埼玉県,10324 ,11253 ,-929 ,-8.3 ,1554 ,1681 ,-127 ,-7.6 ,111 ,119 ,-8 ,-6.7 ,2292 ,2286 ,6 ,0.3 ,6367 ,7167 ,-800 ,-11.2 ,
関東,千葉県,7663 ,7868 ,-205 ,-2.6 ,951 ,1070 ,-119 ,-11.1 ,55 ,58 ,-3 ,-5.2 ,1392 ,1469 ,-77 ,-5.2 ,5265 ,5271 ,-6 ,-0.1 ,
関東,神奈川県,10564 ,11117 ,-553 ,-5.0 ,933 ,1026 ,-93 ,-9.1 ,125 ,131 ,-6 ,-4.6 ,1354 ,1355 ,-1 ,-0.1 ,8152 ,8605 ,-453 ,-5.3 ,
関東,新潟県,2629 ,2862 ,-233 ,-8.1 ,194 ,219 ,-25 ,-11.4 ,24 ,22 ,2 ,9.1 ,410 ,446 ,-36 ,-8.1 ,2001 ,2175 ,-174 ,-8.0 ,
関東,山梨県,867 ,1045 ,-178 ,-17.0 ,103 ,137 ,-34 ,-24.8 ,8 ,8 ,0 ,0.0 ,187 ,200 ,-13 ,-6.5 ,569 ,700 ,-131 ,-18.7 ,
関東,長野県,1812 ,1916 ,-104 ,-5.4 ,136 ,149 ,-13 ,-8.7 ,48 ,42 ,6 ,14.3 ,273 ,254 ,19 ,7.5 ,1355 ,1471 ,-116 ,-7.9 ,
関東,静岡県,5488 ,5513 ,-25 ,-0.5 ,808 ,800 ,8 ,1.0 ,217 ,196 ,21 ,10.7 ,880 ,942 ,-62 ,-6.6 ,3583 ,3575 ,8 ,0.2 ,
中部,計,21279 ,21270 ,9 ,0.0 ,3075 ,3250 ,-175 ,-5.4 ,547 ,615 ,-68 ,-11.1 ,3990 ,4073 ,-83 ,-2.0 ,13667 ,13332 ,335 ,2.5 ,
中部,富山県,1703 ,1702 ,1 ,0.1 ,402 ,349 ,53 ,15.2 ,19 ,44 ,-25 ,-56.8 ,227 ,222 ,5 ,2.3 ,1055 ,1087 ,-32 ,-2.9 ,
中部,石川県,1397 ,1247 ,150 ,12.0 ,166 ,169 ,-3 ,-1.8 ,8 ,15 ,-7 ,-46.7 ,312 ,300 ,12 ,4.0 ,911 ,763 ,148 ,19.4 ,
中部,福井県,1100 ,1263 ,-163 ,-12.9 ,153 ,206 ,-53 ,-25.7 ,11 ,10 ,1 ,10.0 ,234 ,241 ,-7 ,-2.9 ,702 ,806 ,-104 ,-12.9 ,
中部,岐阜県,3015 ,2932 ,83 ,2.8 ,203 ,228 ,-25 ,-11.0 ,28 ,26 ,2 ,7.7 ,476 ,455 ,21 ,4.6 ,2308 ,2223 ,85 ,3.8 ,
中部,愛知県,12218 ,12263 ,-45 ,-0.4 ,1972 ,2098 ,-126 ,-6.0 ,472 ,499 ,-27 ,-5.4 ,2340 ,2443 ,-103 ,-4.2 ,7434 ,7223 ,211 ,2.9 ,
中部,三重県,1846 ,1863 ,-17 ,-0.9 ,179 ,200 ,-21 ,-10.5 ,9 ,21 ,-12 ,-57.1 ,401 ,412 ,-11 ,-2.7 ,1257 ,1230 ,27 ,2.2 ,
近畿,計,32838 ,34879 ,-2041 ,-5.9 ,4380 ,5196 ,-816 ,-15.7 ,418 ,536 ,-118 ,-22.0 ,6460 ,7106 ,-646 ,-9.1 ,21580 ,22041 ,-461 ,-2.1 ,
近畿,滋賀県,1893 ,1807 ,86 ,4.8 ,168 ,180 ,-12 ,-6.7 ,23 ,20 ,3 ,15.0 ,352 ,392 ,-40 ,-10.2 ,1350 ,1215 ,135 ,11.1 ,
近畿,京都府,3567 ,3643 ,-76 ,-2.1 ,401 ,539 ,-138 ,-25.6 ,68 ,79 ,-11 ,-13.9 ,731 ,686 ,45 ,6.6 ,2367 ,2339 ,28 ,1.2 ,
近畿,大阪府,13626 ,14965 ,-1339 ,-8.9 ,1717 ,2137 ,-420 ,-19.7 ,221 ,287 ,-66 ,-23.0 ,2599 ,2961 ,-362 ,-12.2 ,9089 ,9580 ,-491 ,-5.1 ,
近畿,兵庫県,10212 ,10950 ,-738 ,-6.7 ,1664 ,1885 ,-221 ,-11.7 ,53 ,73 ,-20 ,-27.4 ,2087 ,2365 ,-278 ,-11.8 ,6408 ,6627 ,-219 ,-3.3 ,
近畿,奈良県,2097 ,2040 ,57 ,2.8 ,273 ,262 ,11 ,4.2 ,42 ,54 ,-12 ,-22.2 ,454 ,439 ,15 ,3.4 ,1328 ,1285 ,43 ,3.3 ,
近畿,和歌山県,1443 ,1474 ,-31 ,-2.1 ,157 ,193 ,-36 ,-18.7 ,11 ,23 ,-12 ,-52.2 ,237 ,263 ,-26 ,-9.9 ,1038 ,995 ,43 ,4.3 ,
中国,計,9973 ,10149 ,-176 ,-1.7 ,1439 ,1693 ,-254 ,-15.0 ,108 ,91 ,17 ,18.7 ,2121 ,2089 ,32 ,1.5 ,6305 ,6276 ,29 ,0.5 ,
中国,鳥取県,962 ,880 ,82 ,9.3 ,68 ,86 ,-18 ,-20.9 ,17 ,4 ,13 ,325.0 ,197 ,162 ,35 ,21.6 ,680 ,628 ,52 ,8.3 ,
中国,島根県,730 ,728 ,2 ,0.3 ,51 ,58 ,-7 ,-12.1 ,16 ,9 ,7 ,77.8 ,184 ,188 ,-4 ,-2.1 ,479 ,473 ,6 ,1.3 ,
中国,岡山県,2655 ,2641 ,14 ,0.5 ,386 ,448 ,-62 ,-13.8 ,47 ,45 ,2 ,4.4 ,516 ,501 ,15 ,3.0 ,1706 ,1647 ,59 ,3.6 ,
中国,広島県,4036 ,4206 ,-170 ,-4.0 ,754 ,881 ,-127 ,-14.4 ,27 ,26 ,1 ,3.8 ,906 ,897 ,9 ,1.0 ,2349 ,2402 ,-53 ,-2.2 ,
中国,山口県,1590 ,1694 ,-104 ,-6.1 ,180 ,220 ,-40 ,-18.2 ,1 ,7 ,-6 ,-85.7 ,318 ,341 ,-23 ,-6.7 ,1091 ,1126 ,-35 ,-3.1 ,
四国,計,4939 ,5028 ,-89 ,-1.8 ,453 ,483 ,-30 ,-6.2 ,46 ,56 ,-10 ,-17.9 ,937 ,946 ,-9 ,-1.0 ,3503 ,3543 ,-40 ,-1.1 ,
四国,徳島県,703 ,673 ,30 ,4.5 ,44 ,45 ,-1 ,-2.2 ,2 ,4 ,-2 ,-50.0 ,117 ,102 ,15 ,14.7 ,540 ,522 ,18 ,3.4 ,
四国,香川県,1519 ,1592 ,-73 ,-4.6 ,127 ,141 ,-14 ,-9.9 ,17 ,28 ,-11 ,-39.3 ,380 ,460 ,-80 ,-17.4 ,995 ,963 ,32 ,3.3 ,
四国,愛媛県,1788 ,1899 ,-111 ,-5.8 ,112 ,152 ,-40 ,-26.3 ,7 ,11 ,-4 ,-36.4 ,187 ,164 ,23 ,14.0 ,1482 ,1572 ,-90 ,-5.7 ,
四国,高知県,929 ,864 ,65 ,7.5 ,170 ,145 ,25 ,17.2 ,20 ,13 ,7 ,53.8 ,253 ,220 ,33 ,15.0 ,486 ,486 ,0 ,0.0 ,
九州,計,20634 ,20840 ,-206 ,-1.0 ,2250 ,2390 ,-140 ,-5.9 ,415 ,480 ,-65 ,-13.5 ,3214 ,3230 ,-16 ,-0.5 ,14755 ,14740 ,15 ,0.1 ,
九州,福岡県,9108 ,9433 ,-325 ,-3.4 ,1005 ,1062 ,-57 ,-5.4 ,207 ,235 ,-28 ,-11.9 ,1269 ,1323 ,-54 ,-4.1 ,6627 ,6813 ,-186 ,-2.7 ,
九州,佐賀県,1203 ,1112 ,91 ,8.2 ,105 ,113 ,-8 ,-7.1 ,16 ,14 ,2 ,14.3 ,200 ,220 ,-20 ,-9.1 ,882 ,765 ,117 ,15.3 ,
九州,長崎県,1579 ,1492 ,87 ,5.8 ,148 ,157 ,-9 ,-5.7 ,58 ,80 ,-22 ,-27.5 ,233 ,173 ,60 ,34.7 ,1140 ,1082 ,58 ,5.4 ,
九州,熊本県,2302 ,2173 ,129 ,5.9 ,163 ,172 ,-9 ,-5.2 ,1 ,6 ,-5 ,-83.3 ,351 ,344 ,7 ,2.0 ,1787 ,1651 ,136 ,8.2 ,
九州,大分県,1149 ,1124 ,25 ,2.2 ,119 ,112 ,7 ,6.3 ,6 ,14 ,-8 ,-57.1 ,216 ,201 ,15 ,7.5 ,808 ,797 ,11 ,1.4 ,
九州,宮崎県,1192 ,1213 ,-21 ,-1.7 ,118 ,124 ,-6 ,-4.8 ,10 ,6 ,4 ,66.7 ,237 ,236 ,1 ,0.4 ,827 ,847 ,-20 ,-2.4 ,
九州,鹿児島県,1618 ,1657 ,-39 ,-2.4 ,133 ,160 ,-27 ,-16.9 ,6 ,11 ,-5 ,-45.5 ,291 ,281 ,10 ,3.6 ,1188 ,1205 ,-17 ,-1.4 ,
九州,沖縄県,2483 ,2636 ,-153 ,-5.8 ,459 ,490 ,-31 ,-6.3 ,111 ,114 ,-3 ,-2.6 ,417 ,452 ,-35 ,-7.7 ,1496 ,1580 ,-84 ,-5.3 ,
第１１表,特別法犯　主要法令別　検挙件数・検挙人員　対前年比較,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員
法令別,"2021年
1～12月","2020年
1～12月",増減,増減率（％),"2021年
1～12月","2020年
1～12月",増減,増減率（％)
特別法犯総数　注）,71005 ,72913 ,-1908 ,-2.6 ,58156 ,61345 ,-3189 ,-5.2 
公職選挙法,121 ,43 ,78 ,181.4 ,183 ,58 ,125 ,215.5 
入管法,4831 ,6846 ,-2015 ,-29.4 ,3528 ,5005 ,-1477 ,-29.5 
軽犯罪法,8431 ,9123 ,-692 ,-7.6 ,8455 ,9193 ,-738 ,-8.0 
迷惑防止条例,8765 ,7694 ,1071 ,13.9 ,6702 ,6291 ,411 ,6.5 
ストーカー規制法,994 ,1003 ,-9 ,-0.9 ,801 ,811 ,-10 ,-1.2 
DV法,75 ,77 ,-2 ,-2.6 ,65 ,72 ,-7 ,-9.7 
競馬法,2 ,3 ,-1 ,-33.3 ,5 ,3 ,2 ,66.7 
風営適正化法,936 ,1022 ,-86 ,-8.4 ,926 ,1195 ,-269 ,-22.5 
売春防止法,426 ,400 ,26 ,6.5 ,378 ,396 ,-18 ,-4.5 
児童福祉法,135 ,195 ,-60 ,-30.8 ,130 ,161 ,-31 ,-19.3 
児童買春・児童ポルノ法,3596 ,3394 ,202 ,6.0 ,2529 ,2529 ,0 ,0.0 
青少年保護育成条例,2426 ,2619 ,-193 ,-7.4 ,1817 ,2069 ,-252 ,-12.2 
出資法,110 ,109 ,1 ,0.9 ,122 ,108 ,14 ,13.0 
貸金業法,88 ,115 ,-27 ,-23.5 ,81 ,101 ,-20 ,-19.8 
犯罪収益移転防止法,2535 ,2634 ,-99 ,-3.8 ,2072 ,2133 ,-61 ,-2.9 
宅地建物取引業法,4 ,16 ,-12 ,-75.0 ,6 ,23 ,-17 ,-73.9 
関税法,28 ,24 ,4 ,16.7 ,24 ,26 ,-2 ,-7.7 
外為法,2 ,5 ,-3 ,-60.0 ,3 ,7 ,-4 ,-57.1 
著作権法,368 ,417 ,-49 ,-11.8 ,149 ,123 ,26 ,21.1 
商標法,934 ,758 ,176 ,23.2 ,304 ,326 ,-22 ,-6.7 
不正アクセス禁止法,429 ,609 ,-180 ,-29.6 ,139 ,141 ,-2 ,-1.4 
不正競争防止法,75 ,58 ,17 ,29.3 ,77 ,69 ,8 ,11.6 
銃刀法,5252 ,5458 ,-206 ,-3.8 ,4521 ,4819 ,-298 ,-6.2 
火薬類取締法,79 ,130 ,-51 ,-39.2 ,54 ,102 ,-48 ,-47.1 
麻薬等取締法,938 ,1053 ,-115 ,-10.9 ,526 ,546 ,-20 ,-3.7 
あへん法,16 ,11 ,5 ,45.5 ,15 ,12 ,3 ,25.0 
大麻取締法,6733 ,5865 ,868 ,14.8 ,5339 ,4904 ,435 ,8.9 
覚醒剤取締法,11299 ,11825 ,-526 ,-4.4 ,7631 ,8245 ,-614 ,-7.4 
医薬品医療機器等法,215 ,251 ,-36 ,-14.3 ,140 ,185 ,-45 ,-24.3 
毒物及び劇物取締法,204 ,234 ,-30 ,-12.8 ,165 ,180 ,-15 ,-8.3 
廃棄物処理法,6183 ,5999 ,184 ,3.1 ,6651 ,6680 ,-29 ,-0.4 
労働基準法,23 ,33 ,-10 ,-30.3 ,34 ,38 ,-4 ,-10.5 
